Dates,MOV_AVG_200D,RSI_14D,MOV_AVG_50D,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_VOLUME,VOLATILITY_30D,BETA_ADJ_OVERRIDABLE,PX_HIGH_LOW_DIFFERENCE
10/24/13,1615.11,64.89,1685.25,1752.07,1747.48,1753.94,1745.5,5.25E+08,12.35,1.04,8.44
10/25/13,1616.54,66.78,1687.22,1759.77,1756.01,1759.82,1752.45,5.42E+08,12.31,1.04,7.37
10/28/13,1617.99,67.35,1689.35,1762.11,1759.42,1764.99,1757.67,5.80E+08,12.28,1.04,7.32
10/29/13,1619.5,69.72,1691.86,1771.95,1762.93,1772.09,1762.93,5.02E+08,11.89,1.04,9.16
10/30/13,1620.96,65.24,1694.08,1763.31,1772.27,1775.22,1757.24,4.80E+08,11.99,1.04,17.98
10/31/13,1622.38,61.89,1696.36,1756.54,1763.24,1768.53,1755.72,6.36E+08,11.82,1.04,12.81
11/1/13,1623.78,63.42,1698.45,1761.64,1758.7,1765.67,1752.7,5.50E+08,11.7,1.04,12.97
11/4/13,1625.19,65.26,1700.54,1767.93,1763.4,1768.78,1761.56,4.32E+08,11.66,1.03,7.22
11/5/13,1626.54,62.58,1702.66,1762.97,1765.67,1767.03,1755.76,4.87E+08,11.66,1.04,11.27
11/6/13,1627.92,64.93,1705.46,1770.49,1765,1773.74,1764.4,5.00E+08,11.68,1.03,9.34
11/7/13,1629.18,53.66,1707.71,1747.15,1770.74,1774.54,1746.2,6.02E+08,12.38,1.04,28.34
11/8/13,1630.52,60.99,1710.36,1770.61,1748.37,1770.78,1747.63,5.76E+08,12.7,1.04,23.15
11/11/13,1631.88,61.35,1713.14,1771.89,1769.96,1773.44,1767.85,3.89E+08,12.55,1.03,5.59
11/12/13,1633.18,59.42,1715.69,1767.69,1769.51,1771.78,1762.29,4.57E+08,12.59,1.03,9.49
11/13/13,1634.58,63.62,1718.27,1782,1764.37,1782,1760.64,5.28E+08,12.31,1.03,21.36
11/14/13,1636.04,65.92,1720.98,1790.62,1782.75,1791.53,1780.22,5.26E+08,12.24,1.03,11.31
11/15/13,1637.46,67.83,1723.84,1798.18,1790.66,1798.22,1790.66,6.68E+08,11.81,1.03,7.56
11/18/13,1638.94,64.4,1726.24,1791.53,1798.82,1802.33,1788,4.97E+08,11.06,1.03,14.33
11/19/13,1640.33,62.53,1728.32,1787.87,1790.79,1795.51,1784.72,4.71E+08,11.14,1.03,10.79
11/20/13,1641.67,59.24,1730.16,1781.37,1789.59,1795.73,1777.23,4.86E+08,9.6,1.03,18.5
11/21/13,1643.11,63.81,1732.41,1795.85,1783.52,1797.16,1783.52,5.01E+08,9.7,1.03,13.64
11/22/13,1644.54,66.32,1734.75,1804.76,1797.21,1804.84,1794.7,4.50E+08,9.72,1.04,10.14
11/25/13,1645.97,65.07,1736.84,1802.48,1806.33,1808.1,1800.58,4.83E+08,9.37,1.03,7.52
11/26/13,1647.38,65.16,1738.8,1802.75,1802.87,1808.42,1800.77,5.67E+08,8.66,1.03,7.65
11/27/13,1648.82,66.58,1740.44,1807.23,1803.48,1808.27,1802.77,3.80E+08,8.52,1.03,5.5
11/29/13,1650.24,65.66,1742.11,1805.81,1808.69,1813.55,1803.98,3.57E+08,8.39,1.03,9.57
12/2/13,1651.65,62.47,1743.93,1800.9,1806.55,1810.02,1798.6,4.70E+08,8.47,1.03,11.42
12/3/13,1652.97,58.86,1745.79,1795.15,1800.1,1800.1,1787.85,5.36E+08,8.44,1.03,12.25
12/4/13,1654.37,57.4,1747.7,1792.81,1793.15,1799.8,1779.09,5.91E+08,8.29,1.03,20.71
12/5/13,1655.78,52.73,1749.55,1785.03,1792.82,1792.82,1783.38,5.77E+08,8.4,1.03,9.44
12/6/13,1657.23,61.44,1751.67,1805.09,1788.36,1806.04,1788.36,5.17E+08,8.91,1.03,17.68
12/9/13,1658.83,62.65,1754.01,1808.37,1806.21,1811.52,1806.21,4.96E+08,8.92,1.03,5.31
12/10/13,1660.36,59.14,1756.43,1802.62,1807.6,1808.52,1801.75,4.84E+08,8.87,1.03,6.77
12/11/13,1661.69,48.72,1758.17,1782.22,1802.76,1802.97,1780.09,5.61E+08,9.44,1.03,22.88
12/12/13,1663,45.85,1759.8,1775.5,1781.71,1782.99,1772.28,5.28E+08,9.44,1.03,10.71
12/13/13,1664.28,45.78,1761.74,1775.32,1777.98,1780.92,1772.45,4.50E+08,9.41,1.03,8.47
12/16/13,1665.59,51.31,1763.66,1786.54,1777.48,1792.22,1777.48,5.37E+08,9.53,1.03,14.74
12/17/13,1666.8,48.67,1765.76,1781,1786.47,1786.77,1777.05,5.13E+08,9.54,1.03,9.72
12/18/13,1668.14,60.42,1768.86,1810.65,1781.46,1811.08,1767.99,7.02E+08,10.65,1.03,43.09
12/19/13,1669.47,59.9,1771.92,1809.6,1809,1810.88,1801.35,5.18E+08,9.73,1.03,9.53
12/20/13,1670.8,62.78,1774.44,1818.32,1810.39,1823.75,1810.25,1.40E+09,9.06,1.03,13.5
12/23/13,1672.16,65.72,1776.94,1827.99,1822.92,1829.75,1822.92,4.39E+08,9.15,1.03,6.83
12/24/13,1673.57,67.26,1779.4,1833.32,1828.02,1833.32,1828.02,1.88E+08,9.1,1.03,5.3
12/26/13,1675,69.65,1782.28,1842.02,1834.96,1842.84,1834.96,2.99E+08,8.92,1.03,7.88
12/27/13,1676.4,69.26,1784.68,1841.4,1842.97,1844.89,1839.81,2.75E+08,8.86,1.03,5.08
12/30/13,1677.8,69.04,1786.83,1841.07,1841.47,1842.47,1838.77,3.08E+08,8.81,1.03,3.7
12/31/13,1679.28,71.22,1788.91,1848.36,1842.61,1849.44,1842.41,4.00E+08,8.74,1.03,7.03
1/2/14,1680.7,60.85,1790.66,1831.98,1845.86,1845.86,1827.74,4.63E+08,9.2,1.03,18.12
1/3/14,1682.06,60.5,1792.19,1831.37,1833.21,1838.24,1829.13,4.00E+08,9.1,1.03,9.11
1/6/14,1683.47,57.77,1793.8,1826.77,1832.31,1837.16,1823.73,5.01E+08,8.88,1.03,13.43
1/7/14,1684.87,62.2,1795.52,1837.88,1828.71,1840.1,1828.71,5.09E+08,8.94,1.03,11.39
1/8/14,1686.3,61.95,1797.07,1837.49,1837.9,1840.02,1831.4,5.89E+08,8.92,1.03,8.62
1/9/14,1687.67,62.22,1798.59,1838.13,1839,1843.23,1830.38,5.30E+08,8.92,1.03,12.85
1/10/14,1689.07,64,1800,1842.37,1840.06,1843.15,1832.43,4.92E+08,8.92,1.03,10.72
1/13/14,1690.32,50.11,1801.12,1819.2,1841.26,1843.45,1815.52,5.86E+08,9.76,1.03,27.93
1/14/14,1691.7,58.37,1802.76,1838.88,1821.36,1839.26,1821.36,5.21E+08,10.21,1.03,17.9
1/15/14,1693.09,61.67,1804.5,1848.38,1840.52,1850.84,1840.52,5.64E+08,10.22,1.03,10.32
1/16/14,1694.55,60.32,1806.06,1845.89,1847.99,1847.99,1840.3,4.86E+08,10.22,1.03,7.69
1/17/14,1695.95,56.48,1807.57,1838.7,1844.23,1846.04,1835.23,8.20E+08,10.2,1.03,10.81
1/21/14,1697.4,58.5,1809.04,1843.8,1841.05,1849.31,1832.38,6.10E+08,9.72,1.03,16.93
1/22/14,1698.81,58.93,1810.99,1844.86,1844.71,1846.87,1840.88,5.12E+08,9.71,1.03,5.99
1/23/14,1700.11,50.31,1812.15,1828.46,1842.29,1842.29,1820.06,5.93E+08,10.07,1.03,22.23
1/24/14,1701.12,36.81,1812.52,1790.29,1826.96,1826.96,1790.29,7.30E+08,11.46,1.03,36.67
1/27/14,1702.06,34.53,1812.79,1781.56,1791.03,1795.98,1772.88,6.53E+08,11.5,1.03,23.1
1/28/14,1703.08,39.58,1813,1792.5,1783,1793.87,1779.49,5.26E+08,11.64,1.03,14.38
1/29/14,1704.19,34.75,1812.68,1774.2,1790.15,1790.15,1770.45,6.56E+08,11.9,1.03,19.7
1/30/14,1705.29,42.94,1812.6,1794.19,1777.17,1798.77,1777.17,5.71E+08,12.35,1.03,21.6
1/31/14,1706.44,39.82,1812.42,1782.59,1790.88,1793.88,1772.26,7.76E+08,11.42,1.03,21.62
2/3/14,1707.44,31.23,1811.5,1741.89,1782.68,1784.83,1739.66,7.59E+08,13.27,1.03,45.17
2/4/14,1708.44,36.09,1810.97,1755.2,1743.82,1758.73,1743.82,6.35E+08,13.41,1.03,14.91
2/5/14,1709.39,35.37,1810.09,1751.64,1753.38,1755.79,1737.92,5.90E+08,13.26,1.03,17.87
2/6/14,1710.36,42.87,1809.46,1773.43,1752.99,1774.06,1752.99,5.72E+08,13.84,1.03,21.07
2/7/14,1711.45,49.68,1809.35,1797.02,1776.01,1798.03,1776.01,6.00E+08,14.4,1.03,22.02
2/10/14,1712.53,50.44,1809.3,1799.84,1796.2,1799.94,1791.83,4.98E+08,14.41,1.03,8.11
2/11/14,1713.71,55.55,1809.55,1819.75,1800.45,1823.54,1800.41,5.46E+08,14.84,1.03,23.13
2/12/14,1714.84,55.4,1809.82,1819.26,1820.12,1826.55,1815.97,4.96E+08,14.78,1.03,10.58
2/13/14,1716,58.06,1810.39,1829.83,1814.82,1830.25,1809.22,5.43E+08,14.66,1.03,21.03
2/14/14,1717.28,60.18,1811.26,1838.63,1828.46,1841.65,1825.59,4.95E+08,14.73,1.03,16.06
2/18/14,1718.5,60.7,1812.22,1840.76,1839.03,1842.87,1835.01,5.47E+08,14.71,1.03,7.86
2/19/14,1719.57,56.25,1813.1,1828.75,1838.9,1847.5,1826.99,5.31E+08,14.74,1.03,20.51
2/20/14,1720.68,59.21,1813.79,1839.78,1829.24,1842.79,1824.58,5.21E+08,14.85,1.03,18.21
2/21/14,1721.73,57.86,1814.35,1836.25,1841.07,1846.13,1835.6,6.82E+08,14.86,1.03,10.53
2/24/14,1722.81,60.94,1815.25,1847.61,1836.78,1858.71,1836.78,7.06E+08,14.96,1.03,21.93
2/25/14,1723.9,59.91,1816.51,1845.12,1847.66,1852.91,1840.19,5.06E+08,14.44,1.03,12.72
2/26/14,1724.96,59.92,1817.9,1845.16,1845.79,1852.65,1840.66,5.05E+08,14.09,1.03,11.99
2/27/14,1726.06,62.62,1819.48,1854.29,1844.9,1854.53,1841.13,5.17E+08,14.08,1.03,13.4
2/28/14,1727.1,64.09,1820.94,1859.45,1855.12,1867.92,1847.67,7.29E+08,14.1,1.03,20.25
3/3/14,1728.04,57.6,1822.23,1845.73,1857.68,1857.68,1834.44,5.09E+08,14.23,1.03,23.24
3/4/14,1729.16,65.36,1823.5,1873.91,1849.23,1876.23,1849.23,5.56E+08,14.91,1.03,27
3/5/14,1730.19,65.31,1824.78,1873.81,1874.05,1876.53,1871.11,4.91E+08,14.91,1.03,5.42
3/6/14,1731.24,66.13,1825.96,1877.03,1874.18,1881.94,1874.18,5.06E+08,14.62,1.03,7.76
3/7/14,1732.29,66.4,1826.96,1878.04,1878.52,1883.57,1870.56,5.07E+08,12.94,1.03,13.01
3/10/14,1733.4,65.92,1827.83,1877.17,1877.86,1877.87,1867.04,4.39E+08,12.8,1.03,10.83
3/11/14,1734.48,60.68,1828.35,1867.63,1878.26,1882.35,1863.88,4.52E+08,12.88,1.03,18.47
3/12/14,1735.57,60.88,1828.88,1868.2,1866.15,1868.38,1854.38,4.60E+08,12.37,1.03,14
3/13/14,1736.51,50.32,1828.99,1846.34,1869.06,1874.4,1841.86,5.28E+08,12.66,1.02,32.54
3/14/14,1737.47,48.17,1828.84,1841.13,1845.07,1852.44,1839.57,5.13E+08,12.5,1.02,12.87
3/17/14,1738.49,55.17,1829.38,1858.83,1842.81,1862.3,1842.81,4.74E+08,10.25,1.02,19.49
3/18/14,1739.7,59.62,1830.2,1872.25,1858.92,1873.76,1858.92,4.21E+08,10.23,1.02,14.84
3/19/14,1740.8,54.62,1830.88,1860.77,1872.25,1874.14,1850.35,5.13E+08,10.46,1.02,23.79
3/20/14,1742,58.31,1831.56,1872.01,1860.09,1873.49,1854.63,4.82E+08,10.05,1.02,18.86
3/21/14,1743.29,55.92,1832.14,1866.52,1874.53,1883.97,1863.46,1.56E+09,9.51,1.02,20.51
3/24/14,1744.47,52.12,1832.53,1857.44,1867.67,1873.34,1849.69,6.09E+08,9.68,1.02,23.65
3/25/14,1745.58,55.08,1832.99,1865.62,1859.48,1871.87,1855.96,5.15E+08,9.25,1.02,15.91
3/26/14,1746.63,49.78,1833.66,1852.56,1867.09,1875.92,1852.56,5.73E+08,9.54,1.02,23.36
3/27/14,1747.74,48.43,1833.86,1849.04,1852.11,1855.55,1842.11,5.98E+08,9.43,1.02,13.44
3/28/14,1748.97,51.86,1834.05,1857.62,1850.07,1866.63,1850.07,4.67E+08,9.42,1.02,16.56
3/31/14,1750.15,57.13,1834.58,1872.34,1859.16,1875.18,1859.16,5.88E+08,9.69,1.02,16.02
4/1/14,1751.44,61.22,1835.51,1885.52,1873.96,1885.84,1873.96,5.29E+08,9.61,1.02,11.88
4/2/14,1752.7,62.79,1836.45,1890.9,1886.61,1893.17,1883.79,4.75E+08,9.51,1.02,9.38
4/3/14,1753.88,61.73,1837.33,1888.77,1891.43,1893.8,1882.65,5.00E+08,9.49,1.02,11.15
4/4/14,1755.07,51.35,1838.07,1865.09,1890.25,1897.28,1863.26,6.69E+08,10.17,1.02,34.02
4/7/14,1756.35,44.52,1839.16,1845.04,1863.92,1864.04,1841.48,6.92E+08,10.7,1.02,22.56
4/8/14,1757.65,47.13,1840.57,1851.96,1845.48,1854.95,1837.49,5.78E+08,10.76,1.02,17.46
4/9/14,1759.14,53.96,1842.16,1872.18,1852.64,1872.43,1852.38,5.44E+08,11.14,1.02,20.05
4/10/14,1760.37,42.53,1843.34,1833.08,1872.28,1872.53,1830.87,6.61E+08,12.82,1.03,41.66
4/11/14,1761.43,38.61,1843.77,1815.69,1830.65,1835.07,1814.36,6.82E+08,12.95,1.03,20.71
4/14/14,1762.52,43.43,1844.73,1830.61,1818.18,1834.19,1815.8,5.45E+08,12.31,1.03,18.39
4/15/14,1763.7,47.13,1846.75,1842.98,1831.45,1844.02,1816.29,6.30E+08,12.52,1.03,27.73
4/16/14,1764.94,52.37,1848.89,1862.31,1846.01,1862.31,1846.01,5.84E+08,12.93,1.03,16.3
4/17/14,1766.19,53.03,1851.16,1864.85,1861.73,1869.63,1856.72,6.87E+08,12.94,1.03,12.91
4/21/14,1767.47,54.9,1853.13,1871.89,1865.79,1871.89,1863.18,4.58E+08,12.99,1.03,8.71
4/22/14,1768.71,56.9,1854.78,1879.55,1872.57,1884.89,1872.57,5.08E+08,12.96,1.03,12.32
4/23/14,1769.89,55.46,1856.29,1875.39,1879.32,1879.75,1873.91,4.97E+08,12.98,1.03,5.84
4/24/14,1771.02,56.38,1857.47,1878.61,1881.97,1884.06,1870.24,5.37E+08,12.45,1.03,13.82
4/25/14,1772.07,51.01,1858.35,1863.4,1877.72,1877.72,1859.7,5.41E+08,12.68,1.03,18.02
4/28/14,1773.04,52.93,1859.14,1869.43,1865,1877.01,1850.61,6.67E+08,12.39,1.03,26.4
4/29/14,1774.03,55.68,1859.93,1878.33,1870.78,1880.6,1870.78,5.12E+08,12.29,1.03,9.82
4/30/14,1775.04,57.37,1860.8,1883.95,1877.1,1885.2,1872.69,6.46E+08,12.16,1.03,12.51
5/1/14,1776.08,57.26,1861.9,1883.68,1884.39,1888.59,1878.04,4.82E+08,12.03,1.03,10.55
5/2/14,1777.08,56.14,1862.72,1881.14,1885.3,1891.33,1878.5,4.81E+08,12.01,1.03,12.83
5/5/14,1778.06,57.38,1863.69,1884.66,1879.45,1885.51,1866.77,4.27E+08,11.91,1.03,18.74
5/6/14,1778.93,50.02,1864.09,1867.72,1883.69,1883.69,1867.72,4.90E+08,12.17,1.03,15.97
5/7/14,1779.85,53.96,1864.76,1878.21,1868.53,1878.83,1859.79,6.12E+08,12.08,1.03,19.04
5/8/14,1780.76,52.85,1865.37,1875.63,1877.39,1889.07,1870.05,5.11E+08,12.07,1.03,19.02
5/9/14,1781.73,53.97,1865.85,1878.48,1875.27,1878.57,1867.02,4.89E+08,12.01,1.03,11.55
5/12/14,1782.76,60.43,1866.59,1896.65,1880.03,1897.13,1880.03,4.64E+08,12.12,1.03,17.1
5/13/14,1783.79,60.69,1867.63,1897.45,1896.75,1902.17,1896.06,4.28E+08,11.95,1.03,6.11
5/14/14,1784.8,56.23,1867.92,1888.53,1897.13,1897.13,1885.77,4.37E+08,12.01,1.03,11.36
5/15/14,1785.73,48.6,1867.86,1870.85,1888.16,1888.16,1862.36,5.61E+08,12.33,1.02,25.8
5/16/14,1786.69,51.42,1867.88,1877.86,1871.19,1878.28,1864.82,6.38E+08,11.78,1.02,13.46
5/19/14,1787.58,54.2,1868.02,1885.08,1876.66,1886,1872.42,4.44E+08,11.31,1.02,13.58
5/20/14,1788.4,49.07,1867.93,1872.83,1884.88,1884.88,1868.14,4.50E+08,11.47,1.02,16.74
5/21/14,1789.3,54.79,1868.34,1888.03,1873.34,1888.8,1873.34,4.21E+08,11.26,1.02,15.46
5/22/14,1790.28,56.34,1868.83,1892.49,1888.19,1896.33,1885.39,3.99E+08,9.11,1.02,10.94
5/23/14,1791.32,59.06,1869.91,1900.53,1893.32,1901.26,1893.32,3.86E+08,8.53,1.02,7.94
5/27/14,1792.4,62.62,1871.33,1911.91,1902.01,1912.28,1902.01,4.79E+08,8.4,1.02,10.27
5/28/14,1793.49,61.54,1872.34,1909.78,1911.77,1914.46,1907.3,4.21E+08,8.27,1.02,7.16
5/29/14,1794.64,64.69,1873.3,1920.03,1910.6,1920.03,1909.82,3.79E+08,7.88,1.02,10.21
5/30/14,1795.79,65.73,1874.56,1923.57,1920.33,1924.03,1916.64,6.10E+08,7.88,1.02,7.39
6/2/14,1796.99,66.16,1875.62,1924.97,1923.87,1925.88,1915.98,3.84E+08,7.83,1.02,9.9
6/3/14,1798.3,65.7,1876.77,1924.24,1923.07,1925.07,1918.79,4.20E+08,7.78,1.02,6.28
6/4/14,1799.66,66.93,1878.18,1927.88,1923.06,1928.63,1918.6,4.11E+08,7.73,1.02,10.03
6/5/14,1801.13,70.82,1879.68,1940.46,1928.52,1941.74,1922.93,4.39E+08,7.91,1.02,18.81
6/6/14,1802.62,73.25,1881.61,1949.44,1942.41,1949.44,1942.41,4.59E+08,7.43,1.02,7.03
6/9/14,1804.16,73.73,1883.66,1951.27,1948.97,1955.55,1947.16,4.34E+08,7.41,1.02,8.39
6/10/14,1805.63,73.36,1885.52,1950.79,1950.34,1950.86,1944.64,4.12E+08,7.36,1.02,6.22
6/11/14,1807.03,68.06,1886.95,1943.89,1949.37,1949.37,1940.08,3.97E+08,7.48,1.02,9.29
6/12/14,1808.4,58.9,1887.84,1930.11,1943.35,1943.35,1925.78,4.70E+08,7.87,1.02,17.57
6/13/14,1809.93,61.36,1888.75,1936.16,1930.8,1937.3,1927.69,4.55E+08,7.87,1.02,9.61
6/16/14,1811.44,62.02,1889.73,1937.78,1934.84,1941.15,1930.91,4.62E+08,7.86,1.02,10.24
6/17/14,1812.96,63.74,1891.27,1941.99,1937.15,1943.69,1933.55,4.25E+08,7.23,1.02,10.14
6/18/14,1814.58,69.1,1893.51,1956.98,1942.73,1957.74,1939.29,4.50E+08,7.37,1.02,18.45
6/19/14,1816.18,69.9,1895.66,1959.48,1957.5,1959.87,1952.26,4.88E+08,7.32,1.02,7.61
6/20/14,1817.73,71,1897.47,1962.87,1960.45,1963.91,1959.17,1.23E+09,7.32,1.02,4.74
6/23/14,1819.26,70.78,1900.06,1962.61,1962.92,1963.74,1958.89,4.30E+08,6.89,1.02,4.85
6/24/14,1820.74,61.18,1902.75,1949.98,1961.97,1968.17,1948.34,4.82E+08,7.25,1.02,19.83
6/25/14,1822.18,65.04,1905.32,1959.53,1949.27,1960.83,1947.49,4.69E+08,7.13,1.02,13.34
6/26/14,1823.54,63.4,1907.61,1957.22,1959.89,1959.89,1944.69,4.17E+08,6.37,1.02,15.2
6/27/14,1824.9,64.94,1909.58,1960.96,1956.56,1961.47,1952.18,7.55E+08,6.33,1.02,9.29
6/30/14,1826.29,64.37,1911.49,1960.23,1960.79,1964.24,1958.22,5.43E+08,6.31,1.02,6.02
7/1/14,1827.71,69.54,1913.52,1973.32,1962.29,1978.58,1962.29,4.53E+08,6.01,1.02,16.29
7/2/14,1829.1,70.01,1915.42,1974.62,1973.06,1976.67,1972.58,3.99E+08,5.7,1.02,4.09
7/3/14,1830.5,73.62,1917.62,1985.44,1975.88,1985.59,1975.88,3.73E+08,5.81,1.02,9.71
7/7/14,1831.76,67.33,1919.6,1977.65,1984.22,1984.22,1974.88,4.12E+08,5.99,1.02,9.34
7/8/14,1832.97,57.82,1921.61,1963.71,1976.39,1976.39,1959.46,5.01E+08,6.32,1.02,16.93
7/9/14,1834.28,61.64,1923.68,1972.83,1965.1,1974.15,1965.1,4.24E+08,6.38,1.02,9.05
7/10/14,1835.6,56.69,1925.4,1964.68,1966.67,1969.84,1952.86,4.32E+08,6.43,1.02,16.98
7/11/14,1836.95,57.98,1927.08,1967.57,1965.76,1968.67,1959.63,3.90E+08,6.43,1.02,9.04
7/14/14,1838.37,61.99,1928.94,1977.1,1969.86,1979.85,1969.86,4.13E+08,6.54,1.02,9.99
7/15/14,1839.74,59.54,1930.79,1973.28,1977.36,1982.52,1965.34,5.75E+08,6.59,1.02,17.18
7/16/14,1841.19,62.96,1932.72,1981.57,1976.35,1983.94,1975.67,5.63E+08,6.65,1.02,8.27
7/17/14,1842.58,50.06,1934.53,1958.12,1979.75,1981.8,1955.59,5.71E+08,7.46,1.02,26.21
7/18/14,1843.99,58,1936.53,1978.22,1961.54,1979.91,1960.82,5.99E+08,7.93,1.02,19.09
7/21/14,1845.39,55.82,1938.49,1973.63,1976.93,1976.93,1965.77,4.12E+08,7.98,1.02,11.16
7/22/14,1846.92,59.37,1940.59,1983.53,1975.65,1986.24,1975.65,4.43E+08,8.09,1.02,10.59
7/23/14,1848.4,60.57,1942.4,1987.01,1985.32,1989.23,1982.44,5.00E+08,8,1.02,6.79
7/24/14,1849.96,60.92,1944.21,1987.98,1988.07,1991.39,1985.79,5.09E+08,7.62,1.02,5.6
7/25/14,1851.57,55.68,1946.01,1978.34,1984.6,1984.6,1974.37,4.29E+08,7.79,1.02,10.23
7/28/14,1853.18,55.92,1948.17,1978.91,1978.25,1981.52,1967.31,4.47E+08,7.79,1.02,14.21
7/29/14,1854.57,51.2,1950.01,1969.95,1980.03,1984.85,1969.95,5.02E+08,7.93,1.02,14.9
7/30/14,1855.91,51.26,1951.71,1970.07,1973.21,1978.9,1962.42,5.01E+08,7.61,1.02,16.48
7/31/14,1857.01,35.85,1952.87,1930.67,1965.14,1965.14,1930.67,6.37E+08,9.75,1.02,34.47
8/1/14,1858.14,34.29,1953.61,1925.15,1929.8,1937.35,1916.37,5.30E+08,9.75,1.02,20.98
8/4/14,1859.23,41.18,1954.54,1938.99,1926.62,1942.92,1921.2,4.79E+08,10.03,1.02,21.72
8/5/14,1860.17,35.71,1954.93,1920.21,1936.34,1936.34,1913.77,5.15E+08,10.26,1.02,22.57
8/6/14,1861.04,35.72,1955.1,1920.24,1917.29,1927.91,1911.45,4.97E+08,10.12,1.02,16.46
8/7/14,1861.87,32.85,1955.1,1909.57,1923.03,1928.89,1904.78,4.82E+08,10.22,1.02,24.11
8/8/14,1862.75,43.04,1955.33,1931.59,1910.35,1932.38,1909.01,4.64E+08,10.85,1.02,23.37
8/11/14,1863.71,45.21,1955.59,1936.92,1933.43,1944.9,1933.43,4.06E+08,10.89,1.02,11.47
8/12/14,1864.62,44.13,1955.77,1933.75,1935.73,1939.65,1928.29,3.61E+08,10.67,1.02,11.36
8/13/14,1865.55,49.43,1956.22,1946.72,1935.6,1948.41,1935.6,3.82E+08,10.89,1.02,12.81
8/14/14,1866.52,52.59,1956.77,1955.18,1947.41,1955.23,1947.41,3.30E+08,10.84,1.02,7.82
8/15/14,1867.43,52.54,1957.06,1955.06,1958.87,1964.04,1941.5,6.09E+08,10.79,1.02,22.54
8/18/14,1868.47,58.47,1957.5,1971.74,1958.36,1971.99,1958.36,4.37E+08,10.9,1.02,13.63
8/19/14,1869.6,61.53,1958.11,1981.6,1972.73,1982.57,1972.73,4.06E+08,10.92,1.02,9.84
8/20/14,1870.72,62.99,1958.82,1986.51,1980.46,1988.57,1977.68,3.88E+08,10.85,1.02,10.89
8/21/14,1871.84,64.72,1959.79,1992.37,1986.82,1994.76,1986.82,4.05E+08,10.88,1.02,7.94
8/22/14,1872.97,62.59,1960.96,1988.4,1992.6,1993.54,1984.76,3.89E+08,10.81,1.02,8.78
8/25/14,1874.11,65.52,1962.2,1997.92,1991.74,2001.95,1991.74,3.48E+08,10.87,1.02,10.21
8/26/14,1875.37,66.15,1963.44,2000.02,1998.59,2005.04,1998.59,3.21E+08,10.81,1.02,6.45
8/27/14,1876.52,66.18,1964.6,2000.12,2000.54,2002.14,1996.2,3.61E+08,10.13,1.02,5.94
8/28/14,1877.65,64,1965.4,1996.74,1997.42,1998.55,1990.52,3.27E+08,9.71,1.02,8.03
8/29/14,1878.82,66.34,1966.28,2003.37,1998.45,2003.38,1994.65,4.34E+08,9.72,1.02,8.73
9/2/14,1879.93,65.59,1967.06,2002.28,2004.07,2006.12,1994.85,4.15E+08,9.62,1.02,11.27
9/3/14,1880.98,64.46,1967.83,2000.72,2003.57,2009.28,1998.14,4.09E+08,9.62,1.02,11.14
9/4/14,1881.97,62.18,1968.78,1997.65,2001.67,2011.17,1992.54,4.38E+08,9.63,1.02,18.63
